date,season,league,home_team,away_team,market,model_prob,break_even_odds,benchmark_odds,profit_benchmark
2021-11-05,2122,La Liga,Ath Bilbao,Cadiz,OVER25,0.30000000000000004,3.333333333333333,3.174603174603174,-1.0
2021-11-05,2122,La Liga,Ath Bilbao,Cadiz,UNDER25,0.7,1.4285714285714286,1.3605442176870748,0.3605442176870748
2021-11-05,2122,La Liga,Ath Bilbao,Cadiz,BTTS_YES,0.55,1.8181818181818181,1.7316017316017311,-1.0
2021-11-05,2122,La Liga,Ath Bilbao,Cadiz,BTTS_NO,0.44999999999999996,2.2222222222222223,2.1164021164021167,1.1164021164021167
2021-11-05,2122,Ligue 1,Lens,Troyes,OVER25,0.45,2.2222222222222223,2.1164021164021163,1.1164021164021163
2021-11-05,2122,Ligue 1,Lens,Troyes,UNDER25,0.55,1.8181818181818181,1.7316017316017311,-1.0
2021-11-05,2122,Ligue 1,Lens,Troyes,BTTS_YES,0.6,1.6666666666666667,1.5873015873015872,-1.0
2021-11-05,2122,Ligue 1,Lens,Troyes,BTTS_NO,0.4,2.5,2.380952380952381,1.380952380952381
2021-11-05,2122,Premier League,Southampton,Aston Villa,OVER25,0.55,1.8181818181818181,1.7316017316017311,-1.0
2021-11-05,2122,Premier League,Southampton,Aston Villa,UNDER25,0.44999999999999996,2.2222222222222223,2.1164021164021167,1.1164021164021167
2021-11-05,2122,Premier League,Southampton,Aston Villa,BTTS_YES,0.55,1.8181818181818181,1.7316017316017311,-1.0
2021-11-05,2122,Premier League,Southampton,Aston Villa,BTTS_NO,0.44999999999999996,2.2222222222222223,2.1164021164021167,1.1164021164021167
2021-11-05,2122,Serie A,Empoli,Genoa,OVER25,0.6499999999999999,1.5384615384615388,1.4652014652014655,0.46520146520146555
2021-11-05,2122,Serie A,Empoli,Genoa,UNDER25,0.3500000000000001,2.8571428571428563,2.7210884353741487,-1.0
2021-11-05,2122,Serie A,Empoli,Genoa,BTTS_YES,0.65,1.5384615384615383,1.4652014652014649,0.4652014652014649
2021-11-05,2122,Serie A,Empoli,Genoa,BTTS_NO,0.35,2.857142857142857,2.7210884353741496,-1.0
2021-11-06,2122,Bundesliga,Bayern Munich,Freiburg,OVER25,0.7,1.4285714285714286,1.3605442176870748,0.3605442176870748
2021-11-06,2122,Bundesliga,Bayern Munich,Freiburg,UNDER25,0.30000000000000004,3.333333333333333,3.174603174603174,-1.0
2021-11-06,2122,Bundesliga,Bayern Munich,Freiburg,BTTS_YES,0.6499999999999999,1.5384615384615388,1.4652014652014655,0.46520146520146555
2021-11-06,2122,Bundesliga,Bayern Munich,Freiburg,BTTS_NO,0.3500000000000001,2.8571428571428563,2.7210884353741487,-1.0
2021-11-06,2122,Bundesliga,Bochum,Hoffenheim,OVER25,0.6,1.6666666666666667,1.5873015873015872,-1.0
2021-11-06,2122,Bundesliga,Bochum,Hoffenheim,UNDER25,0.4,2.5,2.380952380952381,1.380952380952381
2021-11-06,2122,Bundesliga,Bochum,Hoffenheim,BTTS_YES,0.35,2.857142857142857,2.7210884353741496,-1.0
2021-11-06,2122,Bundesliga,Bochum,Hoffenheim,BTTS_NO,0.65,1.5384615384615383,1.4652014652014649,0.4652014652014649
2021-11-06,2122,Bundesliga,RB Leipzig,Dortmund,OVER25,0.65,1.5384615384615383,1.4652014652014649,0.4652014652014649
2021-11-06,2122,Bundesliga,RB Leipzig,Dortmund,UNDER25,0.35,2.857142857142857,2.7210884353741496,-1.0
2021-11-06,2122,Bundesliga,RB Leipzig,Dortmund,BTTS_YES,0.65,1.5384615384615383,1.4652014652014649,0.4652014652014649
2021-11-06,2122,Bundesliga,RB Leipzig,Dortmund,BTTS_NO,0.35,2.857142857142857,2.7210884353741496,-1.0
2021-11-06,2122,Bundesliga,Stuttgart,Bielefeld,OVER25,0.5,2.0,1.9047619047619047,-1.0
2021-11-06,2122,Bundesliga,Stuttgart,Bielefeld,UNDER25,0.5,2.0,1.9047619047619047,0.9047619047619047
2021-11-06,2122,Bundesliga,Stuttgart,Bielefeld,BTTS_YES,0.7,1.4285714285714286,1.3605442176870748,-1.0
2021-11-06,2122,Bundesliga,Stuttgart,Bielefeld,BTTS_NO,0.30000000000000004,3.333333333333333,3.174603174603174,2.174603174603174
2021-11-06,2122,Bundesliga,Wolfsburg,Augsburg,OVER25,0.44999999999999996,2.2222222222222223,2.1164021164021167,-1.0
2021-11-06,2122,Bundesliga,Wolfsburg,Augsburg,UNDER25,0.55,1.8181818181818181,1.7316017316017311,0.7316017316017311
2021-11-06,2122,Bundesliga,Wolfsburg,Augsburg,BTTS_YES,0.45,2.2222222222222223,2.1164021164021163,-1.0
2021-11-06,2122,Bundesliga,Wolfsburg,Augsburg,BTTS_NO,0.55,1.8181818181818181,1.7316017316017311,0.7316017316017311
2021-11-06,2122,La Liga,Alaves,Levante,OVER25,0.25,4.0,3.8095238095238093,2.8095238095238093
2021-11-06,2122,La Liga,Alaves,Levante,UNDER25,0.75,1.3333333333333333,1.2698412698412698,-1.0
2021-11-06,2122,La Liga,Alaves,Levante,BTTS_YES,0.25,4.0,3.8095238095238093,2.8095238095238093
2021-11-06,2122,La Liga,Alaves,Levante,BTTS_NO,0.75,1.3333333333333333,1.2698412698412698,-1.0
