season,date,league,home_team,away_team,selection,model_probability,market_probability,edge,reference_odds,odds_source,profit_units
2122,2022-02-26,Bundesliga,Union Berlin,Mainz,OVER25,0.55,0.43814432989690716,0.11185567010309289,2.18,Media mercato Football-Data,1.1800000000000002
2122,2022-02-26,Bundesliga,Ein Frankfurt,Bayern Munich,OVER25,0.75,0.7118279569892474,0.03817204301075261,1.34,Media mercato Football-Data,-1.0
2122,2022-02-27,Bundesliga,Bochum,RB Leipzig,UNDER25,0.55,0.4318766066838046,0.11812339331619542,2.21,Media mercato Football-Data,1.21
2122,2022-02-27,Bundesliga,Augsburg,Dortmund,OVER25,0.7,0.6317073170731708,0.0682926829268291,1.51,Media mercato Football-Data,-1.0
2122,2022-03-04,Bundesliga,Bielefeld,Augsburg,UNDER25,0.65,0.5466321243523315,0.10336787564766847,1.75,Media mercato Football-Data,0.75
2122,2022-03-05,Bundesliga,Bayern Munich,Leverkusen,OVER25,0.95,0.7553398058252427,0.19466019417475722,1.26,Media mercato Football-Data,-1.0
2122,2022-03-05,Bundesliga,Bochum,Greuther Furth,UNDER25,0.6,0.5143603133159269,0.08563968668407307,1.86,Media mercato Football-Data,-1.0
2122,2022-03-05,Bundesliga,Hertha,Ein Frankfurt,UNDER25,0.44999999999999996,0.4481865284974093,0.0018134715025906467,2.13,Media mercato Football-Data,-1.0
2122,2022-03-05,Bundesliga,RB Leipzig,Freiburg,UNDER25,0.44999999999999996,0.4245524296675191,0.02544757033248085,2.25,Media mercato Football-Data,1.25
2122,2022-03-05,Bundesliga,Wolfsburg,Union Berlin,OVER25,0.5,0.44072164948453607,0.05927835051546393,2.17,Media mercato Football-Data,-1.0
2122,2022-03-05,Bundesliga,Stuttgart,M'gladbach,OVER25,0.6000000000000001,0.5592783505154639,0.04072164948453616,1.71,Media mercato Football-Data,0.71
2122,2022-03-06,Bundesliga,FC Koln,Hoffenheim,UNDER25,0.4,0.37684729064039413,0.023152709359605894,2.53,Media mercato Football-Data,1.5299999999999998
2122,2022-03-12,Bundesliga,Freiburg,Wolfsburg,OVER25,0.5,0.4699738903394256,0.030026109660574396,2.03,Media mercato Football-Data,1.0299999999999998
2122,2022-03-12,Bundesliga,Hoffenheim,Bayern Munich,UNDER25,0.30000000000000004,0.2585858585858586,0.04141414141414146,3.67,Media mercato Football-Data,2.67
2122,2022-03-12,Bundesliga,Union Berlin,Stuttgart,OVER25,0.5,0.48167539267015713,0.018324607329842868,1.98,Media mercato Football-Data,-1.0
2122,2022-03-12,Bundesliga,M'gladbach,Hertha,OVER25,0.8,0.6323529411764707,0.16764705882352937,1.5,Media mercato Football-Data,-1.0
2122,2022-03-13,Bundesliga,Leverkusen,FC Koln,OVER25,0.7,0.6466346153846154,0.05336538461538454,1.47,Media mercato Football-Data,-1.0
2122,2022-03-13,Bundesliga,Dortmund,Bielefeld,UNDER25,0.44999999999999996,0.3412322274881517,0.10876777251184827,2.78,Media mercato Football-Data,1.7799999999999998
2122,2022-03-13,Bundesliga,Ein Frankfurt,Bochum,UNDER25,0.65,0.47258485639686687,0.17741514360313315,2.02,Media mercato Football-Data,-1.0
2122,2022-03-13,Bundesliga,Greuther Furth,RB Leipzig,UNDER25,0.44999999999999996,0.39,0.05999999999999994,2.44,Media mercato Football-Data,-1.0
2122,2022-03-16,Bundesliga,Mainz,Dortmund,OVER25,0.7,0.570694087403599,0.129305912596401,1.67,Media mercato Football-Data,-1.0
2122,2022-03-18,Bundesliga,Bochum,M'gladbach,UNDER25,0.44999999999999996,0.441860465116279,0.008139534883720934,2.16,Media mercato Football-Data,1.1600000000000001
2122,2022-03-19,Bundesliga,Greuther Furth,Freiburg,OVER25,0.6499999999999999,0.53125,0.11874999999999991,1.8,Media mercato Football-Data,-1.0
2122,2022-03-19,Bundesliga,Hertha,Hoffenheim,UNDER25,0.4,0.3855721393034826,0.014427860696517414,2.47,Media mercato Football-Data,-1.0
2122,2022-03-19,Bundesliga,Mainz,Bielefeld,UNDER25,0.6,0.5581395348837209,0.041860465116279055,1.71,Media mercato Football-Data,-1.0
2122,2022-03-19,Bundesliga,Stuttgart,Augsburg,UNDER25,0.6,0.49869451697127937,0.10130548302872061,1.92,Media mercato Football-Data,-1.0
2122,2022-03-19,Bundesliga,Bayern Munich,Union Berlin,UNDER25,0.4,0.27578947368421053,0.1242105263157895,3.44,Media mercato Football-Data,-1.0
2122,2022-03-20,Bundesliga,RB Leipzig,Ein Frankfurt,UNDER25,0.55,0.3959899749373434,0.15401002506265665,2.41,Media mercato Football-Data,1.4100000000000001
2122,2022-03-20,Bundesliga,Wolfsburg,Leverkusen,OVER25,0.65,0.548051948051948,0.10194805194805201,1.74,Media mercato Football-Data,-1.0
2122,2022-03-20,Bundesliga,FC Koln,Dortmund,UNDER25,0.44999999999999996,0.38308457711442784,0.06691542288557212,2.48,Media mercato Football-Data,1.48
2122,2022-04-01,Bundesliga,Union Berlin,FC Koln,OVER25,0.5,0.4559585492227979,0.04404145077720212,2.1,Media mercato Football-Data,-1.0
2122,2022-04-02,Bundesliga,Bielefeld,Stuttgart,UNDER25,0.55,0.5182291666666667,0.031770833333333304,1.85,Media mercato Football-Data,0.8500000000000001
2122,2022-04-02,Bundesliga,Ein Frankfurt,Greuther Furth,UNDER25,0.44999999999999996,0.4040404040404041,0.04595959595959587,2.36,Media mercato Football-Data,1.3599999999999999
2122,2022-04-02,Bundesliga,Freiburg,Bayern Munich,UNDER25,0.4,0.33411214953271023,0.06588785046728979,2.85,Media mercato Football-Data,-1.0
2122,2022-04-02,Bundesliga,Hoffenheim,Bochum,UNDER25,0.5,0.4030226700251889,0.09697732997481112,2.37,Media mercato Football-Data,-1.0
2122,2022-04-02,Bundesliga,Leverkusen,Hertha,OVER25,0.7,0.6466346153846154,0.05336538461538454,1.47,Media mercato Football-Data,0.47
2122,2022-04-02,Bundesliga,Dortmund,RB Leipzig,UNDER25,0.44999999999999996,0.37777777777777777,0.07222222222222219,2.52,Media mercato Football-Data,-1.0
2122,2022-04-03,Bundesliga,Augsburg,Wolfsburg,UNDER25,0.55,0.5466321243523315,0.0033678756476684946,1.75,Media mercato Football-Data,-1.0
2122,2022-04-03,Bundesliga,M'gladbach,Mainz,OVER25,0.6,0.5416666666666667,0.05833333333333324,1.76,Media mercato Football-Data,-1.0
2122,2022-04-06,Bundesliga,Augsburg,Mainz,OVER25,0.55,0.4699738903394256,0.08002610966057444,2.03,Media mercato Football-Data,1.0299999999999998
2122,2022-04-08,Bundesliga,Stuttgart,Dortmund,UNDER25,0.44999999999999996,0.4040404040404041,0.04595959595959587,2.36,Media mercato Football-Data,1.3599999999999999
2122,2022-04-09,Bundesliga,Bayern Munich,Augsburg,UNDER25,0.3500000000000001,0.218018018018018,0.13198198198198208,4.34,Media mercato Football-Data,3.34
2122,2022-04-09,Bundesliga,FC Koln,Mainz,UNDER25,0.6,0.4960835509138382,0.10391644908616177,1.93,Media mercato Football-Data,-1.0
2122,2022-04-09,Bundesliga,Greuther Furth,M'gladbach,OVER25,0.6499999999999999,0.5743589743589743,0.0756410256410256,1.66,Media mercato Football-Data,-1.0
2122,2022-04-09,Bundesliga,Wolfsburg,Bielefeld,UNDER25,0.6,0.5104712041884817,0.08952879581151829,1.87,Media mercato Football-Data,-1.0
2122,2022-04-09,Bundesliga,Hertha,Union Berlin,OVER25,0.6,0.43556701030927836,0.16443298969072162,2.19,Media mercato Football-Data,1.19
2122,2022-04-10,Bundesliga,Bochum,Leverkusen,OVER25,0.6,0.5841836734693877,0.015816326530612268,1.63,Media mercato Football-Data,-1.0
2122,2022-04-10,Bundesliga,Ein Frankfurt,Freiburg,UNDER25,0.6,0.4739583333333334,0.12604166666666655,2.02,Media mercato Football-Data,-1.0
2122,2022-04-10,Bundesliga,RB Leipzig,Hoffenheim,UNDER25,0.44999999999999996,0.35251798561151076,0.09748201438848919,2.7,Media mercato Football-Data,-1.0
