league,selection,min_edge,season,bets,profit_units,roi,hit_rate,avg_odds
Bundesliga,UNDER25,0.05,TOTALE,366,-61.620000000000005,-0.16836065573770492,0.33879781420765026,2.634672131147541
Bundesliga,UNDER25,0.05,2122,69,-20.2,-0.2927536231884058,0.2898550724637681,2.5991304347826087
Bundesliga,UNDER25,0.05,2223,67,-5.48,-0.08179104477611941,0.31343283582089554,2.79865671641791
Bundesliga,UNDER25,0.05,2324,90,-4.49,-0.04988888888888889,0.4111111111111111,2.5768888888888886
Bundesliga,UNDER25,0.05,2425,85,-13.450000000000001,-0.15823529411764709,0.3764705882352941,2.550823529411765
Bundesliga,UNDER25,0.05,2526,55,-18.0,-0.32727272727272727,0.2545454545454545,2.7036363636363636
Bundesliga,TUTTI,0.05,TOTALE,873,-100.54,-0.11516609392898053,0.4639175257731959,2.0914318442153492
Bundesliga,TUTTI,0.05,2122,123,-28.67,-0.23308943089430895,0.37398373983739835,2.2366666666666664
Bundesliga,TUTTI,0.05,2223,192,-10.13,-0.05276041666666667,0.46875,2.124166666666667
Bundesliga,TUTTI,0.05,2324,194,-6.6800000000000015,-0.03443298969072166,0.520618556701031,2.0638659793814433
Bundesliga,TUTTI,0.05,2425,186,-24.44,-0.1313978494623656,0.46774193548387094,2.0703225806451613
Bundesliga,TUTTI,0.05,2526,178,-30.62,-0.17202247191011236,0.4550561797752809,2.007865168539326
La Liga,OVER25,0.05,TOTALE,553,-6.580000000000005,-0.0118987341772152,0.47377938517179025,2.1688607594936706
La Liga,OVER25,0.05,2122,86,2.1900000000000013,0.02546511627906978,0.47674418604651164,2.167906976744186
La Liga,OVER25,0.05,2223,90,12.709999999999999,0.14122222222222222,0.5555555555555556,2.145111111111111
La Liga,OVER25,0.05,2324,108,-17.07,-0.15805555555555556,0.4166666666666667,2.145462962962963
La Liga,OVER25,0.05,2425,147,9.12,0.06204081632653061,0.4965986394557823,2.223877551020408
La Liga,OVER25,0.05,2526,122,-13.53,-0.1109016393442623,0.4344262295081967,2.1414754098360653
La Liga,UNDER25,0.05,TOTALE,609,1.8900000000000041,0.0031034482758620758,0.5188834154351396,2.0282594417077178
La Liga,UNDER25,0.05,2122,93,14.009999999999998,0.15064516129032257,0.6129032258064516,1.8847311827956992
La Liga,UNDER25,0.05,2223,148,-8.149999999999999,-0.05506756756756756,0.5135135135135135,1.9098648648648646
